name,caption,type,is_dynamic
dem,Demand dist. over one unit of time,String,
muf,Demand mean over (T+L),Decimal,
segf,Demand standard dev. over (T+L),Decimal,
r,Target inventory,Decimal,
T,Review period,Decimal,
ss,Safety stock,Decimal,
eshort,Expected number of shortages/cycle,Decimal,
fract,Probability of stockout (%),Decimal,
serv,Fill rate (%),Decimal,
orc,Ordering/setup cost/unit of time,Decimal,
hlc,Holding cost/unit of time,Decimal,
boc,Shortage cost/unit of time,Decimal,
tac,Total expected cost/unit of time,Decimal,
rfr,Target inventory (free),Decimal,
tfr,Review period  (free),Decimal,
tacfr,Total expected cost (free),Decimal,
